Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
0,00000510,false,Rx,3,8,00,00,FF,00,00,00,00,00,
0,00000110,false,Rx,3,8,04,00,C4,00,00,00,00,00,
0,00000111,false,Rx,3,8,C0,00,00,00,00,00,00,00,
0,00000112,false,Rx,3,8,C0,88,08,00,02,18,00,00,
0,00000113,false,Rx,3,8,82,00,00,00,00,00,00,00,
0,00000510,false,Rx,3,8,00,00,FF,00,00,00,00,00,
0,00000110,false,Rx,3,8,04,00,C4,00,00,00,00,00,
0,00000111,false,Rx,3,8,C0,00,00,00,00,00,00,00,
0,00000112,false,Rx,3,8,C0,88,08,00,02,18,00,00,
0,00000113,false,Rx,3,8,82,00,00,00,00,00,00,00,
0,00000510,false,Rx,3,8,00,00,FF,00,00,00,00,00,
0,00000401,false,Rx,3,8,01,04,00,00,00,00,FF,FF,
0,00000110,false,Rx,3,8,04,00,C4,00,00,00,00,00,
0,00000111,false,Rx,3,8,C0,00,00,00,00,00,00,00,
0,00000112,false,Rx,3,8,C0,88,08,00,02,18,00,00,
0,00000113,false,Rx,3,8,82,00,00,00,00,00,00,00,
0,00000510,false,Rx,3,8,00,00,FF,00,00,00,00,00,
0,00000110,false,Rx,3,8,04,00,C4,00,00,00,00,00,
0,00000111,false,Rx,3,8,C0,00,00,00,00,00,00,00,
0,00000112,false,Rx,3,8,C0,88,08,00,02,18,00,00,
0,00000113,false,Rx,3,8,82,00,00,00,00,00,00,00,
0,00000510,false,Rx,3,8,00,00,FF,00,00,00,00,00,
0,00000110,false,Rx,3,8,04,00,C4,00,00,00,00,00,
0,00000111,false,Rx,3,8,C0,00,00,00,00,00,00,00,
0,00000112,false,Rx,3,8,C0,88,08,00,02,18,00,00,
0,00000113,false,Rx,3,8,82,00,00,00,00,00,00,00,
0,00000510,false,Rx,3,8,00,00,FF,00,00,00,00,00,
0,00000110,false,Rx,3,8,04,00,C4,00,00,00,00,00,
0,00000111,false,Rx,3,8,C0,00,00,00,00,00,00,00,
0,00000112,false,Rx,3,8,C0,88,08,00,02,18,00,00,
0,00000113,false,Rx,3,8,82,00,00,00,00,00,00,00,
0,00000510,false,Rx,3,8,00,00,FF,00,00,00,00,00,
0,00000110,false,Rx,3,8,04,00,C4,00,00,00,00,00,
0,00000111,false,Rx,3,8,C0,00,00,00,00,00,00,00,
0,00000112,false,Rx,3,8,C0,88,08,00,02,18,00,00,
0,00000113,false,Rx,3,8,82,00,00,00,00,00,00,00,
0,00000510,false,Rx,3,8,00,00,FF,00,00,00,00,00,
0,00000401,false,Rx,3,8,01,04,00,00,00,00,FF,FF,
0,00000110,false,Rx,3,8,04,00,C4,00,00,00,00,00,
0,00000111,false,Rx,3,8,C0,00,00,00,00,00,00,00,
0,00000112,false,Rx,3,8,C0,88,08,00,02,18,00,00,
0,00000113,false,Rx,3,8,82,00,00,00,00,00,00,00,
0,00000510,false,Rx,3,8,00,00,FF,00,00,00,00,00,
0,00000110,false,Rx,3,8,04,00,C4,00,00,00,00,00,
0,00000111,false,Rx,3,8,C0,00,00,00,00,00,00,00,
0,00000112,false,Rx,3,8,C0,88,08,00,02,18,00,00,
0,00000110,false,Rx,3,8,04,00,00,00,00,00,00,00,
0,00000113,false,Rx,3,8,82,00,00,00,00,00,00,00,
0,00000510,false,Rx,3,8,00,00,FF,00,00,00,00,00,
0,00000110,false,Rx,3,8,04,00,00,00,00,00,00,00,
0,00000110,false,Rx,3,8,04,00,00,00,00,00,00,00,
0,00000110,false,Rx,3,8,04,00,00,00,00,00,00,00,
0,00000111,false,Rx,3,8,C0,00,00,00,00,00,00,00,
0,00000112,false,Rx,3,8,C0,88,08,00,02,18,00,00,
0,00000113,false,Rx,3,8,82,00,00,00,00,00,00,00,
0,00000510,false,Rx,3,8,00,00,FF,00,00,00,00,00,
0,00000110,false,Rx,3,8,04,00,00,00,00,00,00,00,
0,00000111,false,Rx,3,8,C0,00,00,00,00,00,00,00,
0,00000112,false,Rx,3,8,C0,88,08,00,02,18,00,00,
0,00000113,false,Rx,3,8,82,00,00,00,00,00,00,00,
0,00000510,false,Rx,3,8,00,00,FF,00,00,00,00,00,
